agent_1,agent_2,sat,dep,commit,ticks_tog,tick
1,2,-1,4,0,0,0
1,3,-3,-9,0,0,0
1,4,-3,8,0,0,0
1,5,5,7,0,0,0
1,6,-7,-2,0,0,0
1,7,-6,3,0,0,0
1,8,10,4,0,0,0
1,9,-3,-2,0,0,0
1,10,-1,-1,0,0,0
1,11,-8,4,0,0,0
1,12,-1,7,0,0,0
1,13,9,10,0,0,0
1,14,-2,8,0,0,0
1,15,3,-2,0,0,0
1,16,5,-4,0,0,0
1,17,-5,-9,0,0,0
1,18,6,6,0,0,0
1,19,6,-4,0,0,0
1,20,4,-9,0,0,0
2,1,5,-8,0,0,0
2,3,1,3,0,0,0
2,4,4,0.001,0,0,0
2,5,5,-1,0,0,0
2,6,-5,2,0,0,0
2,7,-7,-10,0,0,0
2,8,1,-8,0,0,0
2,9,-7,-3,0,0,0
2,10,8,-9,0,0,0
2,11,10,5,0,0,0
2,12,-6,-6,0,0,0
2,13,6,6,0,0,0
2,14,5,-5,0,0,0
2,15,7,-10,0,0,0
2,16,9,-1,0,0,0
2,17,2,-2,0,0,0
2,18,2,-4,0,0,0
2,19,-8,7,0,0,0
2,20,-9,-7,0,0,0
3,1,5,-4,0,0,0
3,2,-2,5,0,0,0
3,4,3,0.001,0,0,0
3,5,-5,6,0,0,0
3,6,-8,3,0,0,0
3,7,-8,10,0,0,0
3,8,4,10,0,0,0
3,9,8,8,0,0,0
3,10,3,-1,0,0,0
3,11,1,7,0,0,0
3,12,-3,2,0,0,0
3,13,10,4,0,0,0
3,14,-8,-10,0,0,0
3,15,-10,-6,0,0,0
3,16,-1,9,0,0,0
3,17,0,-6,0,0,0
3,18,0,2,0,0,0
3,19,0,6,0,0,0
3,20,-9,5,0,0,0
4,1,0,-10,0,0,0
4,2,-5,1,0,0,0
4,3,-2,6,0,0,0
4,5,-10,7,0,0,0
4,6,2,1,0,0,0
4,7,-5,10,0,0,0
4,8,-5,-7,0,0,0
4,9,1,7,0,0,0
4,10,9,1,0,0,0
4,11,-5,-7,0,0,0
4,12,-2,-10,0,0,0
4,13,6,1,0,0,0
4,14,7,8,0,0,0
4,15,-7,-4,0,0,0
4,16,-5,9,0,0,0
4,17,3,-5,0,0,0
4,18,2,1,0,0,0
